año;municipio;barrios de Barcelona;concepto;estado;valor
2019;Barcelona;Vilapicina i la Torre Llobeta;Índice socioeconómico territorial;;104,3
2019;Barcelona;Porta;Índice socioeconómico territorial;;93,3
2019;Barcelona;el Turó de la Peira;Índice socioeconómico territorial;;86,3
2019;Barcelona;Can Peguera;Índice socioeconómico territorial;;81,0
2019;Barcelona;la Guineueta;Índice socioeconómico territorial;;104,1
2019;Barcelona;Canyelles;Índice socioeconómico territorial;;97,9
2019;Barcelona;les Roquetes;Índice socioeconómico territorial;;77,7
2019;Barcelona;Verdun;Índice socioeconómico territorial;;84,6
2019;Barcelona;la Prosperitat;Índice socioeconómico territorial;;92,2
2019;Barcelona;la Trinitat Nova;Índice socioeconómico territorial;;76,3
2019;Barcelona;Torre Baró;Índice socioeconómico territorial;;75,2
2019;Barcelona;Ciutat Meridiana;Índice socioeconómico territorial;;66,6
2019;Barcelona;Vallbona;Índice socioeconómico territorial;;75,1
2019;Barcelona;la Trinitat Vella;Índice socioeconómico territorial;;73,3
2019;Barcelona;Baró de Viver;Índice socioeconómico territorial;;76,3
2019;Barcelona;el Bon Pastor;Índice socioeconómico territorial;;87,5
2019;Barcelona;Sant Andreu;Índice socioeconómico territorial;;112,8
2019;Barcelona;la Sagrera;Índice socioeconómico territorial;;107,5
2019;Barcelona;el Congrés i els Indians;Índice socioeconómico territorial;;107,0
2019;Barcelona;Navas;Índice socioeconómico territorial;;108,9
2019;Barcelona;el Camp de l'Arpa del Clot;Índice socioeconómico territorial;;110,3
2019;Barcelona;el Clot;Índice socioeconómico territorial;;110,2
2019;Barcelona;el Parc i la Llacuna del Poblenou;Índice socioeconómico territorial;;111,1
2019;Barcelona;la Vila Olímpica del Poblenou;Índice socioeconómico territorial;;127,2
2019;Barcelona;el Poblenou;Índice socioeconómico territorial;;114,3
2019;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;Índice socioeconómico territorial;;116,5
2019;Barcelona;el Besòs i el Maresme;Índice socioeconómico territorial;;74,9
2019;Barcelona;Provençals del Poblenou;Índice socioeconómico territorial;;107,5
2019;Barcelona;Sant Martí de Provençals;Índice socioeconómico territorial;;103,2
2019;Barcelona;la Verneda i la Pau;Índice socioeconómico territorial;;96,0
2019;Barcelona;total;Índice socioeconómico territorial;;108,0
2020;Barcelona;el Raval;Índice socioeconómico territorial;;78,2
2020;Barcelona;el Barri Gòtic;Índice socioeconómico territorial;;75,6
2020;Barcelona;la Barceloneta;Índice socioeconómico territorial;;95,8
2020;Barcelona;Sant Pere, Santa Caterina i la Ribera;Índice socioeconómico territorial;;100,8
2020;Barcelona;el Fort Pienc;Índice socioeconómico territorial;;111,0
